CON,Urban,Provider Type,Type of Control,FTE - Employees on Payroll,Number of Beds,Total Discharges (V + XVIII + XIX + Unknown),Cost of Charity Care,Cost of Uncompensated Care,Total Costs,Total fixed Assets,Total Long Term Liabilities,Inpatient Revenue,Outpatient Revenue,Gross Revenue,Inpatient %,Outpatient %,Charity %,Uncompensated %
1.0,1.0,1,2,322.1,70.0,435.0,26358.0,284986.0,7704339.0,9205205.0,5012389.0,6691433.0,14763631.0,21455064.0,0.31188128825903294,0.6881187117409671,0.0012285211547259892,0.0012285211547259892
1.0,2.0,1,9,923.39,155.0,2110.0,782377.0,3793100.0,39198497.0,61187548.0,672577.0,64929188.0,101005874.0,165935062.0,0.3912927576451564,0.6087072423548436,0.004714958915675097,0.004714958915675097
1.0,2.0,1,2,378.26,49.0,632.0,14670.0,269451.0,20033059.0,65893849.0,34152807.0,16852176.0,44004253.0,60856429.0,0.2769169383895332,0.7230830616104669,0.00024105916566349958,0.00024105916566349958
1.0,1.0,1,2,693.11,48.0,1422.0,1989303.0,1882929.0,43205601.0,-1046227.0,11247.0,39423493.0,74054548.0,113478041.0,0.3474107646958763,0.6525892353041237,0.017530290287616088,0.017530290287616088
1.0,1.0,1,2,1452.05,268.0,9188.0,9740925.0,15188401.0,222474406.0,177612000.0,125362000.0,358393348.0,625072412.0,983465760.0,0.364418734822044,0.635581265177956,0.009904691547166828,0.009904691547166828
1.0,2.0,1,2,709.95,264.0,1770.0,556718.0,1113237.0,31578842.0,88289673.0,187500.0,63182063.0,59906879.0,123088942.0,0.5133041358012485,0.4866958641987515,0.0045228920726282625,0.0045228920726282625
1.0,1.0,1,2,710.9,119.0,1744.0,29295.0,1143589.0,39314854.0,23973046.0,6784278.0,51102599.0,73547202.0,124649801.0,0.40996935887607233,0.5900306411239277,0.00023501842574140972,0.00023501842574140972
0.0,1.0,1,1,1442.57,343.0,6990.0,252776.0,389181.0,178962008.0,24313351.0,1909038.0,853148312.0,99485661.0,952633973.0,0.8955678006247212,0.10443219937527884,0.00026534430554052895,0.00026534430554052895
0.0,2.0,1,2,376.1,24.0,826.0,113783.0,591818.0,38749107.0,23445990.0,24602065.0,21555861.0,53495982.0,75051843.0,0.28721294692256927,0.7127870530774307,0.0015160587062465608,0.0015160587062465608
1.0,1.0,1,8,2550.71,351.0,14593.0,4276479.0,20276038.0,254290694.0,302077403.0,202975044.0,682840329.0,569929961.0,1252770290.0,0.5450642743132103,0.4549357256867897,0.003413617830927328,0.003413617830927328
1.0,1.0,1,9,1201.79,160.0,6344.0,872525.0,9521704.0,131898396.0,79078414.0,25238977.0,157643954.0,328513889.0,486157843.0,0.32426496099950813,0.6757350390004918,0.0017947360359668208,0.0017947360359668208
1.0,1.0,5,4,769.4,274.0,5270.0,171614.0,6186898.0,78149795.0,41852067.0,69315.0,403452183.0,356923231.0,760375414.0,0.5305960392349035,0.4694039607650965,0.00022569640843226948,0.00022569640843226948
0.0,1.0,1,4,205.6,133.0,2085.0,1371577.0,2064145.0,40680728.0,24396578.0,136298.0,196975172.0,126351303.0,323326475.0,0.6092144851423008,0.3907855148576992,0.0042420807018664335,0.0042420807018664335
0.0,2.0,1,11,115.59,15.0,449.0,96501.0,616234.0,14181903.0,5543293.0,1357505.0,4102155.0,16102195.0,20204350.0,0.20303325768955696,0.7969667423104431,0.00477624867912108,0.00477624867912108
1.0,2.0,1,2,157.97,24.0,443.0,44642.0,505383.0,25176982.0,18049813.0,493540.0,6221069.0,32609499.0,38830568.0,0.16021061036243406,0.839789389637566,0.0011496612668658362,0.0011496612668658362
0.0,1.0,1,2,227.79,44.0,557.0,366772.0,707596.0,15353469.0,11584172.0,308723.0,20084064.0,59983772.0,80067836.0,0.2508381018315519,0.749161898168448,0.004580765739691029,0.004580765739691029
