Provider CCN,Hospital Name,Street Address,City,State Code,Zip Code,lat,lng,Rural Versus Urban,CCN Facility Type,Fiscal Year Begin Date,Fiscal Year End Date,FTE - Employees on Payroll,Number of Beds,Total Bed Days Available,Total Discharges (V + XVIII + XIX + Unknown),Net Patient Revenue,Net Income,Wage-Related Costs (Core),Total Salaries (adjusted),Contract Labor,Rev Per FTE,CON,Urban,Inpatient %,Outpatient %,Charity %,Uncompensated %,Rev/Discharge,Rev Per Bed,Rev Per Bed Days,Discharges Per Bed,Discharges Per Bed Days,Discharge/FTE,Net Income %,Net Income Score,Labor %,Overhead %,Depreciation %,LbrExp/FTE,Overhead Exp Per Bed,Pacesetter Group
340106,SANDHILLS REGIONAL MEDICAL CENTER,1000 WEST HAMLET AVE,HAMLET,NC,28345,34.9016124,-79.7085611,R,STH,10/01/2016 12:00:00 AM,11/30/2016 12:00:00 AM,27.24,64.0,3904.0,196.0,3307179.0,-1114660.0,292162.0,1394262.0,40708.0,121408.92070484582,1.0,0.0,0.3257304662745342,0.6742695337254658,0.0010752366291634048,0.0010752366291634048,16873.36224489796,51674.671875,847.125768442623,3.0625,0.050204918032786885,3.0625,-0.33704253685694063,3,0.5099282500281962,0.9248822032312131,0.07349617302238555,61909.83847283407,47792.984375,4th Quartile
250025,GILMORE MEMORIAL REGIONAL MEDICAL CE,1105 EARL FRYE BLVD,AMORY,MS,38821,33.9765086,-88.4767374,R,STH,01/01/2017 12:00:00 AM,04/30/2017 12:00:00 AM,240.48,95.0,11400.0,816.0,12602736.0,-1668935.0,1224195.0,3995740.0,116628.0,52406.58682634731,1.0,0.0,0.3647629563863023,0.6352370436136977,0.0009050415719253343,0.0009050415719253343,15444.529411764706,132660.37894736842,1105.503157894737,8.589473684210526,0.07157894736842105,8.589473684210526,-0.13242640328258878,3,0.4141906170215737,0.826682872671458,0.1192656896089865,21706.316533599467,109668.06315789474,4th Quartile
160001,UNITYPOINT HEALTH-MARSHALLTOWN,3 SOUTH 4TH AVENUE,MARSHALLTOWN,IA,50158,42.0495223,-92.9069853,R,STH,01/01/2017 12:00:00 AM,04/30/2017 12:00:00 AM,378.26,49.0,5880.0,632.0,18813656.0,-5483469.0,1613329.0,7395981.0,541689.0,49737.3658330249,1.0,0.0,0.2769169383895332,0.7230830616104669,0.0007797527498110947,0.0007797527498110947,29768.443037974685,383952.1632653061,3199.6013605442176,12.89795918367347,0.10748299319727891,12.89795918367347,-0.29146216981962464,3,0.4788707734424399,0.9118697078335014,0.043938881416775134,23817.77084545022,350114.3469387755,4th Quartile
380029,SILVERTON HOSPITAL,342 FAIRVIEW STREET,SILVERTON,OR,97381-1993,45.0045232,-122.7899875,U,STH,10/01/2016 12:00:00 AM,03/31/2017 12:00:00 AM,693.11,48.0,8736.0,1422.0,48837133.0,-2462305.0,3445620.0,32446292.0,258993.0,70460.86912611274,1.0,1.0,0.3474107646958763,0.6525892353041237,0.040733410783962275,0.040733410783962275,34343.97538677919,1017440.2708333334,5590.331158424909,29.625,0.16277472527472528,29.625,-0.05041870496370047,3,0.7349307749085107,0.5330902000328316,0.03144424960408712,51783.86114758119,542387.4375,4th Quartile
140191,INGALLS MEMORIAL HOSPITAL,ONE INGALLS DRIVE,HARVEY,IL,60426,41.6074544,-87.6596663,U,STH,10/01/2016 12:00:00 AM,06/30/2017 12:00:00 AM,1452.05,268.0,73164.0,9188.0,226822000.0,18217000.0,13740071.0,79109509.0,5745247.0,156208.11955511174,1.0,1.0,0.364418734822044,0.635581265177956,0.0429452389979808,0.0429452389979808,24686.765346103613,846350.7462686567,3100.1858837679733,34.28358208955224,0.12558088677491663,34.28358208955224,0.08031407888123727,2,0.4093499748701625,0.6702345495586848,0.06006870585745651,63943.789814400334,567253.5111940298,2nd Quartile
370025,SAINT FRANCIS HOSPITAL MUSKOGEE,300 ROCKEFELLER DRIVE,MUSKOGEE,OK,74401,35.7543814,-95.4067995,R,STH,04/01/2017 12:00:00 AM,06/30/2017 12:00:00 AM,709.95,264.0,24024.0,1770.0,31917920.0,-2925101.0,2002746.0,10342496.0,1397760.0,44957.982956546235,1.0,0.0,0.5133041358012485,0.4866958641987515,0.01744217668319239,0.01744217668319239,18032.72316384181,120901.21212121213,1328.5847485847487,6.704545454545454,0.07367632367632368,6.704545454545454,-0.09164447432664785,3,0.38678090552266564,0.6608665915573446,0.05328191811997774,17388.889358405522,79899.57196969698,4th Quartile
340017,MARGARET R. PARDEE MEMORIAL HOSPITAL,800 NORTH JUSTICE STREET,HENDERSONVILLE,NC,28791-,35.320602,-82.46749090000002,U,STH,10/01/2016 12:00:00 AM,06/30/2017 12:00:00 AM,1201.79,160.0,43680.0,6344.0,163637102.0,4024469.0,13933787.0,58456313.0,2296968.0,136161.144625933,1.0,1.0,0.32426496099950813,0.6757350390004918,0.005332073162723207,0.005332073162723207,25793.994640605295,1022731.8875,3746.2706501831503,39.65,0.14523809523809525,39.65,0.0245938662492324,2,0.4423819483187865,0.6457467879136604,0.07018191999024768,60235.23244493631,660425.83125,3rd Quartile
100092,WUESTOFF MEDICAL CENTER - ROCKLEDGE,110 LONGWOOD AVENUE,ROCKLEDGE,FL,32955,28.3353563,-80.7227819,U,STH,10/01/2016 12:00:00 AM,04/30/2017 12:00:00 AM,769.4,274.0,58088.0,5270.0,89007142.0,8458868.0,7197575.0,29248419.0,1240299.0,115683.83415648558,1.0,1.0,0.5305960392349035,0.4694039607650965,0.0019280924670067488,0.0019280924670067488,16889.400759013282,324843.5839416058,1532.2810563283294,19.233576642335766,0.09072441812422531,19.233576642335766,0.09503583431540809,2,0.4094726915285068,0.609065921923434,0.03911280512748067,47369.37093839356,197851.15693430658,2nd Quartile
670058,EMERUS EMERGENCY HOSPITAL SUGAR LAND,16000 SOUTHWEST FRWY  SUITE 100,SUGAR LAND,TX,77479,29.598102100000002,-95.6243564,U,STH,01/01/2017 12:00:00 AM,06/30/2017 12:00:00 AM,22.45,7.0,1267.0,20.0,2454030.0,97107.0,119866.0,778620.0,40816.0,109310.91314031181,0.0,1.0,0.023999056881956006,0.976000943118044,0.0007815715374302677,0.0007815715374302677,122701.5,350575.71428571426,1936.8823993685871,2.857142857142857,0.01578531965272297,2.857142857142857,0.039570420899500004,2,0.3661267384669299,0.6439318182744302,0.01654054758906778,40021.648106904235,225746.85714285713,2nd Quartile
450659,PARK PLAZA HOSPITAL,1313 HERMANN DRIVE,HOUSTON,TX,77004,29.722720000000002,-95.3875429,U,STH,01/01/2017 12:00:00 AM,07/31/2017 12:00:00 AM,205.6,133.0,28196.0,2085.0,42371727.0,1261199.0,3790628.0,17295909.0,617502.0,206088.16634241247,0.0,1.0,0.6092144851423008,0.3907855148576992,0.032370099052134456,0.032370099052134456,20322.17122302158,318584.41353383457,1502.7566676124272,15.676691729323307,0.07394665910058164,15.676691729323307,0.02976510728486474,2,0.49765583073826564,0.66143652818305,0.0799301147201293,102560.97762645915,210723.36842105264,3rd Quartile
