Provider CCN,Hospital Name,Street Address,City,State Code,Zip Code,Rural Versus Urban,CCN Facility Type,Fiscal Year Begin Date,Fiscal Year End Date,FTE - Employees on Payroll,Number of Beds,Total Bed Days Available,Total Discharges (V + XVIII + XIX + Unknown),Net Patient Revenue,Net Income,Wage-Related Costs (Core),Total Salaries (adjusted),CON,Urban,Inpatient %,Outpatient %,Charity %,Uncompensated %,Rev/Discharge,Rev Per Bed,Rev Per Bed Days,Discharges Per Bed,Discharges Per Bed Days,Discharge/FTE,Net Income %,Net Income Score,Labor %,Overhead %,Depreciation %,LbrExp/FTE,Overhead Exp Per Bed,lat,lng
310050,SAINT CLARES HOSPITAL- DENVILLE,25 POCONO ROAD,DENVILLE,NJ,07834,U,STH,10/01/2015,12/31/2015,1808.86,325.0,29900.0,4061.0,79562846.0,8399912.0,6653957.0,28104804.0,1.0,1.0,0.6091558831717202,0.3908441168282799,0.018000047409063268,0.018000047409063268,19591.9344988919,244808.7569230769,2660.96474916388,12.495384615384614,0.13581939799331105,12.495384615384614,0.10557581110157876,2,0.4368717654971769,0.5411838837439275,0.03431706050334097,19215.838152206365,132486.55384615384,40.8949198,-74.46544449999999
340119,STANLY REGIONAL MEDICAL CENTER,301 YADKIN STREET,ALBEMARLE,NC,28001,U,STH,01/01/2016,02/29/2016,236.6,97.0,5820.0,627.0,12331075.0,-1275933.0,1945347.0,5390844.0,1.0,1.0,0.3128612100973843,0.6871387899026157,0.008870516155323036,0.008870516155323036,19666.786283891543,127124.48453608248,2118.741408934708,6.463917525773196,0.1077319587628866,6.463917525773196,-0.10347297376749393,3,0.5949352347625815,0.7083964698941495,0.107412695162425,31006.72442941674,90054.53608247422,35.3644974,-80.1950037
110018,PIEDMONT NEWTON HOSPITAL,5126 HOSPITAL DRIVE,COVINGTON,GA,30209,U,STH,01/01/2016,06/30/2016,587.78,87.0,15834.0,2297.0,35228726.0,9005637.0,3580870.0,17466367.0,1.0,1.0,0.3331881879441553,0.6668118120558447,0.08988897299323285,0.08988897299323285,15336.841967784067,404927.88505747134,2224.878489326765,26.402298850574713,0.14506757610205884,26.402298850574713,0.25563334308484503,1,0.5974453064240813,0.6728073845190996,0.07650762051400893,35808.01830616897,272438.4712643678,33.6016619,-83.8474672
380021,TUALITY HEALTHCARE,335 S. E. 8TH,HILLSBORO,OR,97123,U,STH,10/01/2015,06/30/2016,689.46,194.0,53156.0,2866.0,121973500.0,-11557969.0,12456846.0,66750727.0,1.0,1.0,0.3031027930392364,0.6968972069607636,0.013153553845712387,0.013153553845712387,42558.792742498255,628729.381443299,2294.632778990142,14.773195876288659,0.0539167732711265,14.773195876288659,-0.09475803350727822,3,0.6493834562425445,0.5870634769027698,0.03827378078025145,114883.49287848461,369104.05670103093,45.5195909,-122.9782249
100014,BERT FISH MEDICAL CENTER,401 PALMETTO STREET,NEW SMYRNA BEACH,FL,32168-,U,STH,10/01/2015,03/31/2016,287.2,112.0,20496.0,2373.0,46752831.0,-1025979.0,4506987.0,16718008.0,1.0,1.0,0.42041725581488426,0.5795827441851158,0.03746635150286407,0.03746635150286407,19701.993678887484,417435.9910714286,2281.0709894613587,21.1875,0.11577868852459015,21.1875,-0.02194474597698693,2,0.4539830967669102,0.7593571820281856,0.08230404272203322,73903.18593314763,316983.01785714284,29.020255199999998,-80.92175329999999
450221,MOORE COUNTY HOSP. DBA DUMAS MEM HOS,224 EAST 2ND STREET,DUMAS,TX,79331,R,STH,07/01/2016,08/31/2016,235.11,25.0,1550.0,60.0,4284054.0,-650482.0,342678.0,2494409.0,0.0,0.0,0.2235831796003383,0.7764168203996616,0.056295275456378475,0.056295275456378475,71400.9,171362.16,2763.905806451613,2.4,0.03870967741935484,2.4,-0.15183795535723876,3,0.6622435198062396,0.6584699912746198,0.08866508218617225,12067.062226191994,112836.84,,
50745,CHAPMAN GLOBAL MEDICAL CENTER,2601 E CHAPMAN AVENUE,ORANGE,CA,92869-3206,U,STH,04/01/2016,08/31/2016,198.39,75.0,11475.0,746.0,19576831.0,1249779.0,2451729.0,7647446.0,0.0,1.0,0.7446034156024297,0.2553965843975703,0.001269766286484263,0.001269766286484263,26242.400804289548,261024.41333333327,1706.041917211329,9.946666666666667,0.06501089324618736,9.946666666666667,0.06383969908102083,2,0.5158738408683203,0.5539879769100525,0.01879160115342468,50905.665608145566,144604.38666666663,33.788633000000004,-117.8258852
50747,SOUTH COAST GLOBAL MEDICAL CENTER,2710 SOUTH BRISTOL STREET,SANTA ANA,CA,82701-,U,STH,04/01/2016,08/31/2016,267.7,109.0,16677.0,1224.0,23325258.0,1353046.0,2615425.0,11818040.0,0.0,1.0,0.6692974349168891,0.330702565083111,0.0017831314020192188,0.0017831314020192188,19056.58333333333,213993.19266055047,1398.6483180428131,11.229357798165138,0.07339449541284404,11.229357798165138,0.0580077613718142,2,0.6187912262320957,0.4719513927777348,0.027853668328127388,53916.5670526709,100994.38532110091,33.7104961,-117.8859275
250049,SOUTH PIKE HOSPITAL ASSOCIATION,N. MYRTLE STREET,MAGNOLIA,MS,39652,R,STH,10/01/2015,02/29/2016,59.23,37.0,5624.0,287.0,1934044.0,-300077.0,85313.0,952108.0,1.0,0.0,0.768387691982463,0.2316123080175369,0.03455402255584671,0.03455402255584671,6738.829268292683,52271.45945945946,343.89118065433854,7.756756756756758,0.05103129445234708,7.756756756756758,-0.15515520846475053,3,0.5363998957624542,0.6850630078736575,0.033095420786703925,17515.12746918791,35809.24324324324,31.1474118,-90.46171109999999
250049,BEACHAM MEMORIAL HOSPITAL,N. MYRTLE STREET,MAGNOLIA,MS,39652,R,STH,03/01/2016,06/30/2016,45.6,37.0,4514.0,205.0,1122232.0,-632363.0,61541.0,710038.0,1.0,0.0,0.8206070329942576,0.17939296700574234,0.05925690944474939,0.05925690944474939,5474.30243902439,30330.594594594593,248.6114311032344,5.54054054054054,0.045414266725742135,5.54054054054054,-0.5634868725896249,3,0.687539653119854,0.9363678811511346,0.0580717712558544,16920.592105263157,28400.594594594593,31.1474118,-90.46171109999999
