Provider CCN,Hospital Name,Street Address,City,State Code,Zip Code,lat,lng,Rural Versus Urban,CCN Facility Type,Fiscal Year Begin Date,Fiscal Year End Date,FTE - Employees on Payroll,Number of Beds,Total Bed Days Available,Total Discharges (V + XVIII + XIX + Unknown),Net Patient Revenue,Net Income,Wage-Related Costs (Core),Total Salaries (adjusted),Contract Labor,Rev Per FTE,CON,Urban,Inpatient %,Outpatient %,Charity %,Uncompensated %,Rev/Discharge,Rev Per Bed,Rev Per Bed Days,Discharges Per Bed,Discharges Per Bed Days,Discharge/FTE,Net Income %,Net Income Score,Labor %,Overhead %,Depreciation %,LbrExp/FTE,Overhead Exp Per Bed
110050,MURRAY MEDICAL CENTER,707 OLDS ELLIJAY HIGHWAY,CHATSWORTH,GA,30705,34.779955799999996,-84.7830378,U,STH,10/01/2014,04/30/2015,119.82,29.0,6148.0,234.0,"$5,320,902",$-1003149,"$639,892","$2,872,153","$84,258","$44,407",1.0,1.0,11.6988%,88.3012%,0.3257%,0.3257%,"$22,739","$183,479",$865,8.07,0.04,8.07,-18.8530%,3,66.0047%,74.5925%,13.8715%,"$29,311","$136,862"
511312,PRESTON MEMORIAL HOSPITAL,150 MEMORIAL DRIVE,KINGWOOD,WV,26537-,39.46513579999999,-79.67774940000002,R,CAH,01/01/2015,06/30/2015,251.98,25.0,4525.0,421.0,"$16,890,749",$1641922,$nan,$nan,$nan,"$67,032",1.0,0.0,22.0168%,77.9832%,0.4597%,0.4597%,"$40,121","$675,630","$3,733",16.84,0.09,16.84,9.7208%,2,nan%,51.1725%,2.5549%,$nan,"$345,737"
471301,GIFFORD MEDICAL CENTER,44 SOUTH MAIN STREET,RANDOLPH,VT,05060-,43.915384499999995,-72.66415429999998,R,CAH,10/01/2014,09/30/2015,354.65,29.0,10585.0,1283.0,"$52,846,730",$1261493,$nan,$nan,$nan,"$149,011",1.0,0.0,30.6829%,69.3171%,0.0285%,0.0285%,"$41,190","$1,822,301","$4,993",44.24,0.12,44.24,2.3871%,2,nan%,53.8198%,4.6986%,$nan,"$980,758"
341302,OUR COMMUNITY HOSPITAL,921 JUNIOR HIGH ROAD,SCOTLAND NECK,NC,27874-,36.1323341,-77.42911540000001,R,CAH,10/01/2014,09/30/2015,46.14,20.0,7300.0,16.0,"$4,037,100",$-953772,$nan,$nan,$nan,"$87,497",1.0,0.0,78.5750%,21.4250%,nan%,nan%,"$252,319","$201,855",$553,0.80,0.00,0.80,-23.6252%,3,nan%,68.8142%,4.6528%,$nan,"$138,905"
221303,ATHOL MEMORIAL HOSPITAL,2033 MAIN STREET,ATHOL,MA,01331,42.5850878,-72.20868420000002,U,CAH,10/01/2014,09/30/2015,149.54,25.0,9125.0,463.0,"$21,527,462",$-1585334,$nan,$nan,$nan,"$143,958",1.0,1.0,14.3083%,85.6917%,0.5981%,0.5981%,"$46,496","$861,098","$2,359",18.52,0.05,18.52,-7.3642%,3,nan%,71.7619%,4.6360%,$nan,"$617,941"
371312,ST JOHN SAPULPA,519 SOUTH DIVISION,SAPULPA,OK,74067,35.993109499999996,-96.1009026,U,CAH,10/01/2014,09/30/2015,214.23,25.0,9125.0,597.0,"$20,401,730",$-2236728,$nan,$nan,$nan,"$95,233",1.0,1.0,16.5105%,83.4895%,15.5119%,15.5119%,"$34,174","$816,069","$2,236",23.88,0.07,23.88,-10.9634%,3,nan%,77.2392%,5.9538%,$nan,"$630,325"
41327,BRADLEY COUNTY MEDICAL CENTER,404 S BRADLEY,WARREN,AR,71671-,33.6101273,-92.0593201,R,CAH,10/01/2014,09/30/2015,152.19,25.0,9125.0,1119.0,"$20,571,522",$426521,$nan,$nan,$nan,"$135,170",1.0,0.0,29.0918%,70.9082%,1.4015%,1.4015%,"$18,384","$822,861","$2,254",44.76,0.12,44.76,2.0734%,2,nan%,58.2488%,4.1451%,$nan,"$479,307"
241350,MERCY HOSPITAL & HEALTH CARE CENTER,710 KENWOOD AVENUE SOUTH,MOOSE LAKE,MN,55767-,46.4414076,-92.7728396,R,CAH,10/01/2014,09/30/2015,194.5,25.0,9125.0,870.0,"$30,257,992",$-69356,$nan,$nan,$nan,"$155,568",0.0,0.0,26.6975%,73.3025%,0.0003%,0.0003%,"$34,779","$1,210,320","$3,316",34.80,0.10,34.80,-0.2292%,2,nan%,63.4246%,7.6173%,$nan,"$767,641"
341317,PIONEER HLTH SERV OF STOKES CNTY,1570 NC 8 & 89 HWY,DANBURY,NC,27016,36.4180006,-80.23091540000001,U,CAH,10/01/2014,09/30/2015,206.77,25.0,9125.0,444.0,"$22,589,753",$-6130436,$nan,$nan,$nan,"$109,251",1.0,1.0,27.6506%,72.3494%,nan%,nan%,"$50,878","$903,590","$2,476",17.76,0.05,17.76,-27.1381%,3,nan%,63.1590%,1.3859%,$nan,"$570,699"
341303,FIRSTHEALTH MONTGOMERY MEMORIAL CAH,520 ALLEN STREET,TROY,NC,27371,35.36350239999999,-79.8906252,R,CAH,10/01/2014,09/30/2015,120.3,23.0,8418.0,364.0,"$12,827,056",$440738,$nan,$nan,$nan,"$106,626",1.0,0.0,14.5766%,85.4234%,3.7783%,3.7783%,"$35,239","$557,698","$1,524",15.83,0.04,15.83,3.4360%,2,nan%,48.7382%,5.0772%,$nan,"$271,812"
