Provider CCN,Hospital Name,Street Address,City,State Code,Zip Code,lat,lng,Rural Versus Urban,CCN Facility Type,Fiscal Year Begin Date,Fiscal Year End Date,FTE - Employees on Payroll,Number of Beds,Total Bed Days Available,Total Discharges (V + XVIII + XIX + Unknown),Net Patient Revenue,Net Income,Wage-Related Costs (Core),Total Salaries (adjusted),Contract Labor,Rev Per FTE,CON,Urban,Inpatient %,Outpatient %,Charity %,Uncompensated %,Rev/Discharge,Rev Per Bed,Rev Per Bed Days,Discharges Per Bed,Discharges Per Bed Days,Discharge/FTE,Net Income %,Net Income Score,Labor %,Overhead %,Depreciation %,LbrExp/FTE,Overhead Exp Per Bed,Pacesetter Group
340106,SANDHILLS REGIONAL MEDICAL CENTER,1000 WEST HAMLET AVE,HAMLET,NC,28345,34.9016124,-79.7085611,R,STH,10/01/2016 12:00:00 AM,11/30/2016 12:00:00 AM,27.24,64.0,3904.0,196.0,"$3,307,179",$-1114660,"$292,162","$1,394,262","$40,708","$121,409",1.0,0.0,32.5730%,67.4270%,0.1075%,0.1075%,"$16,873","$51,675",$847,3.06,0.05,3.06,-33.7043%,3,50.9928%,92.4882%,7.3496%,"$61,910","$47,793",4th Quartile
250025,GILMORE MEMORIAL REGIONAL MEDICAL CE,1105 EARL FRYE BLVD,AMORY,MS,38821,33.9765086,-88.4767374,R,STH,01/01/2017 12:00:00 AM,04/30/2017 12:00:00 AM,240.48,95.0,11400.0,816.0,"$12,602,736",$-1668935,"$1,224,195","$3,995,740","$116,628","$52,407",1.0,0.0,36.4763%,63.5237%,0.0905%,0.0905%,"$15,445","$132,660","$1,106",8.59,0.07,8.59,-13.2426%,3,41.4191%,82.6683%,11.9266%,"$21,706","$109,668",4th Quartile
160001,UNITYPOINT HEALTH-MARSHALLTOWN,3 SOUTH 4TH AVENUE,MARSHALLTOWN,IA,50158,42.0495223,-92.9069853,R,STH,01/01/2017 12:00:00 AM,04/30/2017 12:00:00 AM,378.26,49.0,5880.0,632.0,"$18,813,656",$-5483469,"$1,613,329","$7,395,981","$541,689","$49,737",1.0,0.0,27.6917%,72.3083%,0.0780%,0.0780%,"$29,768","$383,952","$3,200",12.90,0.11,12.90,-29.1462%,3,47.8871%,91.1870%,4.3939%,"$23,818","$350,114",4th Quartile
380029,SILVERTON HOSPITAL,342 FAIRVIEW STREET,SILVERTON,OR,97381-1993,45.0045232,-122.7899875,U,STH,10/01/2016 12:00:00 AM,03/31/2017 12:00:00 AM,693.11,48.0,8736.0,1422.0,"$48,837,133",$-2462305,"$3,445,620","$32,446,292","$258,993","$70,461",1.0,1.0,34.7411%,65.2589%,4.0733%,4.0733%,"$34,344","$1,017,440","$5,590",29.62,0.16,29.62,-5.0419%,3,73.4931%,53.3090%,3.1444%,"$51,784","$542,387",4th Quartile
140191,INGALLS MEMORIAL HOSPITAL,ONE INGALLS DRIVE,HARVEY,IL,60426,41.6074544,-87.6596663,U,STH,10/01/2016 12:00:00 AM,06/30/2017 12:00:00 AM,1452.05,268.0,73164.0,9188.0,"$226,822,000",$18217000,"$13,740,071","$79,109,509","$5,745,247","$156,208",1.0,1.0,36.4419%,63.5581%,4.2945%,4.2945%,"$24,687","$846,351","$3,100",34.28,0.13,34.28,8.0314%,2,40.9350%,67.0235%,6.0069%,"$63,944","$567,254",2nd Quartile
370025,SAINT FRANCIS HOSPITAL MUSKOGEE,300 ROCKEFELLER DRIVE,MUSKOGEE,OK,74401,35.7543814,-95.4067995,R,STH,04/01/2017 12:00:00 AM,06/30/2017 12:00:00 AM,709.95,264.0,24024.0,1770.0,"$31,917,920",$-2925101,"$2,002,746","$10,342,496","$1,397,760","$44,958",1.0,0.0,51.3304%,48.6696%,1.7442%,1.7442%,"$18,033","$120,901","$1,329",6.70,0.07,6.70,-9.1644%,3,38.6781%,66.0867%,5.3282%,"$17,389","$79,900",4th Quartile
340017,MARGARET R. PARDEE MEMORIAL HOSPITAL,800 NORTH JUSTICE STREET,HENDERSONVILLE,NC,28791-,35.320602,-82.46749090000002,U,STH,10/01/2016 12:00:00 AM,06/30/2017 12:00:00 AM,1201.79,160.0,43680.0,6344.0,"$163,637,102",$4024469,"$13,933,787","$58,456,313","$2,296,968","$136,161",1.0,1.0,32.4265%,67.5735%,0.5332%,0.5332%,"$25,794","$1,022,732","$3,746",39.65,0.15,39.65,2.4594%,2,44.2382%,64.5747%,7.0182%,"$60,235","$660,426",3rd Quartile
100092,WUESTOFF MEDICAL CENTER - ROCKLEDGE,110 LONGWOOD AVENUE,ROCKLEDGE,FL,32955,28.3353563,-80.7227819,U,STH,10/01/2016 12:00:00 AM,04/30/2017 12:00:00 AM,769.4,274.0,58088.0,5270.0,"$89,007,142",$8458868,"$7,197,575","$29,248,419","$1,240,299","$115,684",1.0,1.0,53.0596%,46.9404%,0.1928%,0.1928%,"$16,889","$324,844","$1,532",19.23,0.09,19.23,9.5036%,2,40.9473%,60.9066%,3.9113%,"$47,369","$197,851",2nd Quartile
670058,EMERUS EMERGENCY HOSPITAL SUGAR LAND,16000 SOUTHWEST FRWY  SUITE 100,SUGAR LAND,TX,77479,29.598102100000002,-95.6243564,U,STH,01/01/2017 12:00:00 AM,06/30/2017 12:00:00 AM,22.45,7.0,1267.0,20.0,"$2,454,030",$97107,"$119,866","$778,620","$40,816","$109,311",0.0,1.0,2.3999%,97.6001%,0.0782%,0.0782%,"$122,702","$350,576","$1,937",2.86,0.02,2.86,3.9570%,2,36.6127%,64.3932%,1.6541%,"$40,022","$225,747",2nd Quartile
450659,PARK PLAZA HOSPITAL,1313 HERMANN DRIVE,HOUSTON,TX,77004,29.722720000000002,-95.3875429,U,STH,01/01/2017 12:00:00 AM,07/31/2017 12:00:00 AM,205.6,133.0,28196.0,2085.0,"$42,371,727",$1261199,"$3,790,628","$17,295,909","$617,502","$206,088",0.0,1.0,60.9214%,39.0786%,3.2370%,3.2370%,"$20,322","$318,584","$1,503",15.68,0.07,15.68,2.9765%,2,49.7656%,66.1437%,7.9930%,"$102,561","$210,723",3rd Quartile
500012,YAKIMA REGIONAL MEDICAL & CARDIAC CE,110 SOUTH NINTH AVENUE,YAKIMA,WA,98902,46.596584,-120.52118610000001,U,STH,07/01/2017 12:00:00 AM,08/31/2017 12:00:00 AM,463.3,124.0,7688.0,553.0,"$14,684,233",$-3047853,"$1,715,764","$5,705,885","$146,747","$31,695",1.0,1.0,49.2614%,50.7386%,1.4380%,1.4380%,"$26,554","$118,421","$1,910",4.46,0.07,4.46,-20.7560%,3,50.5416%,82.3953%,5.5889%,"$16,019","$97,574",4th Quartile
50528,MEMORIAL HOSPITAL - LOS BANOS,520 WEST I STREET,LOS BANOS,CA,93635-,37.0640934,-120.85913559999999,U,STH,01/01/2017 12:00:00 AM,04/30/2017 12:00:00 AM,227.79,44.0,5280.0,557.0,"$19,673,141",$1343636,"$1,808,233","$6,805,907","$450,001","$86,365",0.0,1.0,25.0838%,74.9162%,1.8643%,1.8643%,"$35,320","$447,117","$3,726",12.66,0.11,12.66,6.8298%,2,43.7863%,59.8713%,6.1847%,"$37,816","$267,695",2nd Quartile
450754,HAMILTON GENERAL HOSPITAL,400 NORTH BROWN,HAMILTON,TX,76531-,31.703117699999996,-98.1134194,R,STH,10/01/2016 12:00:00 AM,09/30/2017 12:00:00 AM,191.23,42.0,15330.0,865.0,"$17,916,760",$709301,"$1,373,695","$11,434,847","$565,043","$93,692",0.0,0.0,18.8190%,81.1810%,1.6325%,1.6325%,"$20,713","$426,590","$1,169",20.60,0.06,20.60,3.9589%,2,71.4892%,82.2781%,8.3566%,"$66,980","$350,990",2nd Quartile
100315,VIERA HOSPITAL INC,8745 WICKHAM ROAD,VIERA,FL,32940,28.228301000000002,-80.72936729999998,U,STH,10/01/2016 12:00:00 AM,09/30/2017 12:00:00 AM,402.0,84.0,30660.0,4960.0,"$100,013,991",$13238580,"$13,061,851","$23,517,530","$651,061","$248,791",1.0,1.0,42.7441%,57.2559%,2.0261%,2.0261%,"$20,164","$1,190,643","$3,262",59.05,0.16,59.05,13.2367%,1,36.5743%,58.6356%,0.8981%,"$90,993","$698,141",1st Quartile
450746,KNOX COUNTY HOSPITAL,712 SOUTH FIFTH,KNOX CITY,TX,79529,33.414429399999996,-99.8111422,R,STH,10/01/2016 12:00:00 AM,09/30/2017 12:00:00 AM,102.82,28.0,10220.0,48.0,"$13,954,018",$6991658,"$256,751","$4,850,716","$28,660","$135,713",0.0,0.0,2.5313%,97.4687%,1.3289%,1.3289%,"$290,709","$498,358","$1,365",1.71,0.00,1.71,50.1050%,1,36.6021%,59.1932%,0.6731%,"$49,674","$294,994",1st Quartile
10034,COMMUNITY HOSPITAL INC.,805 FRIENDSHIP DRIVE,TALLASSEE,AL,36078,32.5338957,-85.9123254,U,STH,10/01/2016 12:00:00 AM,09/30/2017 12:00:00 AM,212.96,37.0,13505.0,1028.0,"$22,167,595",$-1735301,"$998,080","$13,037,633","$183,100","$104,093",1.0,1.0,29.1448%,70.8552%,1.0567%,1.0567%,"$21,564","$599,124","$1,641",27.78,0.08,27.78,-7.8281%,3,63.3164%,47.5482%,4.9814%,"$65,908","$284,873",4th Quartile
100266,GULF BREEZE HOSPITAL,1100 GULF BREEZE PARKWAY,GULF BREEZE,FL,32561,30.358700399999996,-87.1578934,U,STH,10/01/2016 12:00:00 AM,09/30/2017 12:00:00 AM,456.87,65.0,23725.0,3911.0,"$102,228,908",$26492958,"$4,280,974","$26,548,878","$247,336","$223,759",1.0,1.0,29.6613%,70.3387%,0.8920%,0.8920%,"$26,139","$1,572,752","$4,309",60.17,0.16,60.17,25.9153%,1,30.1577%,53.0448%,3.0874%,"$67,481","$834,264",1st Quartile
10021,DALE MEDICAL CENTER,126 HOSPITAL,OZARK,AL,36360-,31.451360100000002,-85.63198009999998,R,STH,10/01/2016 12:00:00 AM,09/30/2017 12:00:00 AM,292.01,77.0,28105.0,1398.0,"$26,892,517",$28915,"$2,535,716","$14,775,284","$614,108","$92,095",1.0,0.0,27.3739%,72.6261%,1.4797%,1.4797%,"$19,236","$349,253",$957,18.16,0.05,18.16,0.1075%,2,64.3711%,61.6724%,3.6881%,"$59,282","$215,393",3rd Quartile
520109,MILE BLUFF MEDICAL CENTER  INC.,1050 DIVISION STREET,MAUSTON,WI,53948-,43.7830467,-90.0752607,R,STH,10/01/2016 12:00:00 AM,09/30/2017 12:00:00 AM,367.88,40.0,14600.0,1062.0,"$75,019,816",$-870605,"$6,020,052","$40,081,863","$570,681","$203,925",0.0,0.0,20.9839%,79.0161%,1.1743%,1.1743%,"$70,640","$1,875,495","$5,138",26.55,0.07,26.55,-1.1605%,2,61.4530%,57.9531%,4.3277%,"$125,318","$1,086,908",3rd Quartile
250079,SHARKEY-ISSAQUENA COMM HOSPITAL,108 SOUTH FOURTH STREET,ROLLING FORK,MS,39159,32.90471160000001,-90.88504259999999,R,STH,10/01/2016 12:00:00 AM,09/30/2017 12:00:00 AM,71.93,19.0,6935.0,288.0,"$21,932,896",$588688,"$717,473","$4,920,426","$1,206,869","$304,920",1.0,0.0,22.8749%,77.1251%,0.0299%,0.0299%,"$76,156","$1,154,363","$3,163",15.16,0.04,15.16,2.6840%,2,25.7052%,72.1805%,0.8219%,"$78,380","$833,225",3rd Quartile
100028,PARRISH MEDICAL CENTER,951 N. WASHINGTON AVE,TITUSVILLE,FL,32799,28.6308071,-80.8240872,U,STH,10/01/2016 12:00:00 AM,09/30/2017 12:00:00 AM,836.57,210.0,76650.0,6856.0,"$184,148,959",$44859317,"$9,853,377","$46,575,991","$2,755,445","$220,124",1.0,1.0,37.4525%,62.5475%,1.2054%,1.2054%,"$26,860","$876,900","$2,402",32.65,0.09,32.65,24.3603%,1,30.6433%,54.3085%,5.3847%,"$67,453","$476,231",1st Quartile
100105,INDIAN RIVER MEMORIAL HOSPITA.L,1000 36TH STREET,VERO BEACH,FL,32960,27.658355699999998,-80.39376429999999,U,STH,10/01/2016 12:00:00 AM,09/30/2017 12:00:00 AM,1379.39,310.0,113150.0,12544.0,"$251,297,905",$-3985636,"$14,516,535","$130,442,491","$4,859,364","$182,180",1.0,1.0,44.8078%,55.1922%,0.9831%,0.9831%,"$20,033","$810,638","$2,221",40.46,0.11,40.46,-1.5860%,2,57.6841%,57.0449%,5.2232%,"$105,089","$462,428",3rd Quartile
100130,LAKESIDE MEDICAL CENTER,39200 HOOKER HIGHWAY,BELLE GLADE,FL,33430,26.724250800000004,-80.6710563,U,STH,10/01/2016 12:00:00 AM,09/30/2017 12:00:00 AM,270.36,54.0,19710.0,1966.0,"$30,240,409",$2203115,"$4,656,245","$17,762,132","$139,076","$111,852",1.0,1.0,45.9783%,54.0217%,2.1080%,2.1080%,"$15,382","$560,008","$1,534",36.41,0.10,36.41,7.2853%,2,74.1338%,88.9742%,11.5935%,"$82,920","$498,262",2nd Quartile
100286,PHYSICIANS REGIONAL MEDICAL CENTER,6101 PINE RIDGE ROAD,NAPLES,FL,34119,26.213958899999998,-81.7320293,U,STH,10/01/2016 12:00:00 AM,09/30/2017 12:00:00 AM,952.95,201.0,73365.0,10465.0,"$205,795,328",$17219009,"$12,364,439","$63,389,120","$1,933,870","$215,956",1.0,1.0,50.2995%,49.7005%,3.7778%,3.7778%,"$19,665","$1,023,857","$2,805",52.06,0.14,52.06,8.3671%,2,36.8101%,61.5618%,10.8897%,"$79,494","$630,305",2nd Quartile
450620,DIMMIT REGIONAL HOSPITAL DISTRICT,70440 SPIRAL DRIVE,CARRIZO SPRINGS,TX,78834-,28.521929200000002,-99.86061070000001,R,STH,10/01/2016 12:00:00 AM,10/05/2017 12:00:00 AM,174.14,25.0,9250.0,511.0,"$10,531,159",$1178777,"$2,122,304","$8,598,756","$459,748","$60,475",0.0,0.0,16.9163%,83.0837%,11.3222%,11.3222%,"$20,609","$421,246","$1,139",20.44,0.06,20.44,11.1932%,2,101.8032%,90.7743%,8.0745%,"$61,566","$382,383",2nd Quartile
10032,WEDOWEE HOSPITAL,301 NORTH MAIN STREET,WEDOWEE,AL,36278,33.3166476,-85.487436,R,STH,10/01/2016 12:00:00 AM,09/30/2017 12:00:00 AM,80.38,34.0,12410.0,258.0,"$4,593,843",$-1506129,"$678,066","$3,333,558","$61,203","$57,152",1.0,0.0,19.4415%,80.5585%,1.3974%,1.3974%,"$17,806","$135,113",$370,7.59,0.02,7.59,-32.7858%,3,87.3261%,94.9707%,4.5852%,"$49,908","$128,318",4th Quartile
