Provider CCN,Hospital Name,Street Address,City,State Code,Zip Code,County,Medicare CBSA Number,Rural Versus Urban,CCN Facility Type,Provider Type,Type of Control,Fiscal Year Begin Date,Fiscal Year End Date,FTE - Employees on Payroll,Number of Interns and Residents (FTE),Total Days Title V,Total Days Title XVIII,Total Days Title XIX,Total Days (V + XVIII + XIX + Unknown),Number of Beds,Total Bed Days Available,Total Discharges Title V,Total Discharges Title XVIII,Total Discharges Title XIX,Total Discharges (V + XVIII + XIX + Unknown),Total Days Title V + Total for all Subproviders,Total Days Title XVIII + Total for all Subproviders,Total Days Title XIX + Total for all Subproviders,Total Days (V + XVIII + XIX + Unknown) + Total for all Subproviders,Number of Beds + Total for all Subproviders,Total Bed Days Available + Total for all Subproviders,Total Discharges Title V + Total for all Subproviders,Total Discharges Title XVIII + Total for all Subproviders,Total Discharges Title XIX + Total for all Subproviders,Total Discharges (V + XVIII + XIX + Unknown) + Total for all Subproviders,Hospital Total Days Title V For  Adults & Peds,Hospital Total Days Title XVIII For  Adults & Peds,Hospital Total Days Title XIX For  Adults & Peds,Hospital Total Days (V + XVIII + XIX + Unknown) For  Adults & Peds,Hospital Number of Beds For  Adults & Peds,Hospital Total Bed Days Available For  Adults & Peds,Hospital Total Discharges Title V For  Adults & Peds,Hospital Total Discharges Title XVIII For  Adults & Peds,Hospital Total Discharges Title XIX For  Adults & Peds,Hospital Total Discharges (V + XVIII + XIX + Unknown) For  Adults & Peds,Cost of Charity Care,Total Bad Debt Expense,Cost of Uncompensated Care,Total Unreimbursed and Uncompensated Care,Total Salaries From Worksheet A,Overhead Non-Salary Costs,Depreciation Cost,Total Costs,Inpatient Total Charges,Outpatient Total Charges,Combined Outpatient + Inpatient Total Charges,Wage-Related Costs (Core),Wage-Related Costs (RHC/FQHC),Total Salaries (adjusted),Contract Labor,Wage Related Costs for Part - A Teaching Physicians,Wage Related Costs for Interns and Residents,Cash on Hand and in Banks,Temporary Investments,Notes Receivable,Accounts Receivable,Less: Allowances for Uncollectible Notes and Accounts Receivable,Inventory,Prepaid Expenses,Other Current Assets,Total Current Assets,Land,Land Improvements,Buildings,Leasehold Improvements,Fixed Equipment,Major Movable Equipment,Minor Equipment Depreciable,Health Information Technology Designated Assets,Total fixed Assets,Investments,Other Assets,Total Other Assets,Total Assets,Accounts Payable,"Salaries, Wages, and Fees Payable",Payroll Taxes Payable,Notes and Loans Payable (Short Term),Deferred Income,Other Current Liabilities,Total Current Liabilities,Mortgage Payable,Notes Payable,Unsecured Loans,Other Long Term Liabilities,Total Long Term Liabilities,Total Liabilities,General Fund Balance,Total Fund Balances,Total Liabilities and Fund Balances,DRG Amounts Other Than Outlier Payments,DRG amounts before October 1,DRG amounts after October 1,DRG Amounts for Model 4 BPCI before October 1,DRG Amounts for Model 4 BPCI after October 1,Outlier payments for discharges,Disproporationate Share Adjustment,Allowable DSH Percentage,Managed Care Simulated Payments,Total IME Payment,Inpatient Revenue,Outpatient Revenue,Gross Revenue,Less Contractual Allowance and discounts on patients' accounts,Net Patient Revenue,Less Total Operating Expense,Net Income from Service to Patients,Total Other Income,Total Income,Total Other Expenses,Net Income,Cost To Charge Ratio,Net Revenue from Medicaid,Medicaid Charges,Net Revenue from Stand-Alone SCHIP,Stand-Alone SCHIP Charges,rpt_rec_num,CON,Urban,Inpatient %,Outpatient %,Charity %,Uncompensated %,Rev Per Discharge,Rev Per Bed,Rev Per Bed Days,Rev Per FTE,Discharges Per Bed,Discharges Per Bed Days,Discharges Per FTE,Net Income %,Net Income Score
510013,REYNOLDS MEMORIAL HOSPITAL,800 WHEELING AVENUE,GLEN DALE,WV,26038,MARSHALL,48540.0,U,STH,1,2,10/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,322.1,,,652.0,270.0,1758.0,70.0,6440.0,,163.0,86.0,435.0,,2164.0,270.0,5220.0,90.0,8280.0,,163.0,86.0,435.0,,483.0,226.0,1408.0,61.0,5612.0,,163.0,86.0,435.0,26358.0,602767.0,284986.0,873158.0,5041683.0,5368436.0,269112.0,7704339.0,6258266.0,10730417.0,16988683.0,1077242.0,,5041683.0,,,,719071.0,,,5050572.0,,745212.0,944464.0,,8476905.0,875900.0,92726.0,5325794.0,,3662182.0,,,,9205205.0,5685562.0,1714614.0,7400176.0,25082286.0,2252385.0,2649145.0,,3275482.0,,374604.0,8551616.0,4562389.0,,,450000.0,5012389.0,13564005.0,11518281.0,11518281.0,25082286.0,,,808990.0,,,,11933.0,0.059000000000000004,,,6691433.0,14763631.0,21455064.0,12898510.0,8556554.0,10410119.0,-1853565.0,4492364.0,2638799.0,,2638799.0,0.45349799999999996,1237912.0,4026663.0,,,599181,1.0,1.0,0.31188128825903294,0.6881187117409671,0.0030804457027911003,0.0030804457027911003,19670.23908045977,122236.4857142857,1328.657453416149,26564.89909965849,6.214285714285714,0.06754658385093168,6.214285714285714,0.3083950618438217,1
340106,SANDHILLS REGIONAL MEDICAL CENTER,1000 WEST HAMLET AVE,HAMLET,NC,28345,RICHMOND,99934.0,R,STH,1,4,10/01/2016 12:00:00 AM,11/30/2016 12:00:00 AM,27.24,,,479.0,299.0,946.0,64.0,3904.0,,95.0,60.0,196.0,,479.0,299.0,946.0,64.0,3904.0,,95.0,60.0,196.0,,373.0,299.0,772.0,58.0,3538.0,,95.0,60.0,196.0,3556.0,1065403.0,169936.0,594929.0,1394262.0,3058751.0,243065.0,3958521.0,7448346.0,15418247.0,22866593.0,292162.0,,1394262.0,40708.0,,,-480084.0,,,12745968.0,-8652898.0,1104696.0,177150.0,138545.0,5033377.0,1200000.0,400000.0,6850000.0,23887.0,331093.0,1721559.0,866258.0,,9992010.0,,2594490.0,2594490.0,17619877.0,436636.0,678325.0,104432.0,,,-40651.0,2325267.0,,,,,,2325267.0,15294610.0,15294610.0,17619877.0,,,577465.0,,,87444.0,17324.0,0.12,,,7448346.0,15418247.0,22866593.0,19559414.0,3307179.0,4453013.0,-1145834.0,31174.0,-1114660.0,,-1114660.0,0.17311400000000002,391215.0,4981119.0,,,601095,1.0,2.0,0.3257304662745342,0.6742695337254658,0.0010752366291634048,0.0010752366291634048,16873.36224489796,51674.671875,847.125768442623,121408.92070484582,3.0625,0.050204918032786885,3.0625,-0.33704253685694063,3
450178,PECOS COUNTY MEMORIAL HOSPITAL,386 W IH-10,FORT STOCKTON,TX,79735,PECOS,99945.0,R,STH,1,10,01/01/2017 12:00:00 AM,02/23/2017 12:00:00 AM,149.17,,,72.0,9.0,350.0,25.0,1350.0,,27.0,4.0,104.0,,2113.0,9.0,9902.0,25.0,1350.0,,27.0,4.0,104.0,,72.0,7.0,321.0,25.0,1350.0,,27.0,4.0,104.0,,449884.0,201329.0,201329.0,1982828.0,2017931.0,258036.0,3854574.0,2038040.0,6419770.0,8457810.0,416605.0,50598.0,1982828.0,134549.0,,,1882584.0,,,17170128.0,-14972130.0,1332496.0,140067.0,,5654685.0,85649.0,142168.0,26509009.0,,1373823.0,12985097.0,,,15925932.0,,1594581.0,1594581.0,23175198.0,539398.0,1862551.0,167865.0,615000.0,,298517.0,3483331.0,,19689949.0,,,19689949.0,23173280.0,1918.0,1918.0,23175198.0,,153503.0,,,,,4605.0,0.12,,,2038040.0,6419770.0,8457810.0,5977635.0,2480175.0,4000759.0,-1520584.0,2096862.0,576278.0,,576278.0,0.455741,719760.0,1275211.0,,,601392,0.0,2.0,0.2409654508673049,0.7590345491326951,,,23847.83653846154,99207.0,1837.1666666666667,16626.4999664812,4.16,0.07703703703703704,4.16,0.23235376535929925,1
110003,MAYO CLINIC HEALTH SYSTEM WAYCROSS,1900 TEBEAU STREET,WAYCROSS,GA,31501,WARE,99911.0,R,STH,1,9,01/01/2017 12:00:00 AM,04/30/2017 12:00:00 AM,923.39,4.08,,3320.0,961.0,8574.0,155.0,18600.0,,753.0,187.0,2110.0,,5298.0,961.0,28430.0,344.0,41280.0,,824.0,187.0,2216.0,,2939.0,606.0,7037.0,127.0,15240.0,,753.0,187.0,2110.0,782377.0,9396913.0,3793100.0,3794000.0,19458137.0,34219717.0,,39198497.0,64928330.0,79324714.0,144253044.0,3897893.0,,19458137.0,917334.0,,25605.0,-552927.0,,,19911055.0,,3317119.0,828629.0,7099464.0,151914901.0,1263459.0,2390217.0,80946425.0,3848474.0,17997467.0,44410205.0,,,61187548.0,40804958.0,,40804958.0,253907407.0,24836.0,2083586.0,113615.0,,,129122722.0,131344759.0,,,,672577.0,672577.0,132017336.0,121890071.0,121890071.0,253907407.0,,4592901.0,,,,205590.0,155011.0,0.135,1895518.0,51372.0,64929188.0,101005874.0,165935062.0,119347834.0,46587228.0,52982169.0,-6394941.0,224757.0,-6170184.0,,-6170184.0,0.27173400000000003,3113423.0,11231324.0,1331.0,8211.0,603846,1.0,2.0,0.3912927576451564,0.6087072423548436,0.0167938088095733,0.0167938088095733,22079.254976303317,300562.7612903226,2504.6896774193547,50452.38523267525,13.612903225806452,0.11344086021505376,13.612903225806452,-0.13244368177475596,3
250025,GILMORE MEMORIAL REGIONAL MEDICAL CE,1105 EARL FRYE BLVD,AMORY,MS,38821,MONROE,99925.0,R,STH,1,4,01/01/2017 12:00:00 AM,04/30/2017 12:00:00 AM,240.48,,,1289.0,1100.0,3403.0,95.0,11400.0,,310.0,213.0,816.0,,1289.0,1100.0,3403.0,95.0,11400.0,,310.0,213.0,816.0,,1041.0,1042.0,2250.0,80.0,9600.0,,310.0,213.0,816.0,11406.0,6364223.0,978998.0,978998.0,3995740.0,10418466.0,1503074.0,12543303.0,30093947.0,52408803.0,82502750.0,1224195.0,,3995740.0,116628.0,,,-696605.0,,,17281590.0,-10700607.0,1194550.0,260105.0,165271.0,7504304.0,1740000.0,820000.0,25539777.0,6290439.0,234449.0,7465620.0,938871.0,,35313179.0,,3247419.0,3247419.0,46064902.0,868438.0,792879.0,117638.0,156453.0,,486594.0,43226281.0,,,,,,43226281.0,2838621.0,2838621.0,46064902.0,,1749176.0,,,,5785.0,52475.0,0.12,,,30093947.0,52408803.0,82502750.0,69900014.0,12602736.0,14414206.0,-1811470.0,142535.0,-1668935.0,,-1668935.0,0.152035,2548541.0,17164229.0,,,604167,1.0,2.0,0.3647629563863023,0.6352370436136977,0.0009050415719253343,0.0009050415719253343,15444.529411764706,132660.37894736842,1105.503157894737,52406.58682634731,8.589473684210526,0.07157894736842105,8.589473684210526,-0.13242640328258878,3
160001,UNITYPOINT HEALTH-MARSHALLTOWN,3 SOUTH 4TH AVENUE,MARSHALLTOWN,IA,50158,MARSHALL,99916.0,R,STH,1,2,01/01/2017 12:00:00 AM,04/30/2017 12:00:00 AM,378.26,,,1077.0,495.0,2107.0,49.0,5880.0,,275.0,152.0,632.0,,3988.0,495.0,13048.0,49.0,5880.0,,275.0,152.0,632.0,,886.0,238.0,1461.0,41.0,4920.0,,275.0,152.0,632.0,14670.0,726497.0,269451.0,3898525.0,7395981.0,17155603.0,826651.0,20033059.0,16742042.0,40381305.0,57123347.0,1613329.0,,7395981.0,541689.0,,,2273504.0,,,40385228.0,-34129502.0,1825996.0,763695.0,,11686842.0,5770568.0,1515148.0,89743694.0,,43748494.0,,,,65893849.0,5158600.0,,5158600.0,82739291.0,24229608.0,,,14850000.0,,-853977.0,38225631.0,,34152807.0,,,34152807.0,72378438.0,10360853.0,10360853.0,82739291.0,,2056255.0,,,,192274.0,61842.0,0.1203,81443.0,,16852176.0,44004253.0,60856429.0,42042773.0,18813656.0,24551584.0,-5737928.0,254459.0,-5483469.0,,-5483469.0,0.350698,1101878.0,13490103.0,,,604212,1.0,2.0,0.2769169383895332,0.7230830616104669,0.0007797527498110947,0.0007797527498110947,29768.443037974685,383952.1632653061,3199.6013605442176,49737.3658330249,12.89795918367347,0.10748299319727891,12.89795918367347,-0.29146216981962464,3
380029,SILVERTON HOSPITAL,342 FAIRVIEW STREET,SILVERTON,OR,97381-1993,MARION,41420.0,U,STH,1,2,10/01/2016 12:00:00 AM,03/31/2017 12:00:00 AM,693.11,,,482.0,495.0,5042.0,48.0,8736.0,,167.0,976.0,1422.0,,3177.0,495.0,20261.0,48.0,8736.0,,167.0,976.0,1422.0,,461.0,424.0,3618.0,44.0,8008.0,,167.0,976.0,1422.0,1989303.0,-235418.0,1882929.0,1882929.0,32446292.0,26034597.0,1535647.0,43205601.0,38015697.0,57603538.0,95619235.0,3445620.0,,32446292.0,258993.0,,,1922626.0,-829617.0,,-8093118.0,2980000.0,84678.0,-336731.0,,-3073666.0,,17066.0,,,,10573159.0,,,-1046227.0,,512221.0,512221.0,-3607672.0,-513914.0,-4422824.0,-289010.0,,-4625.0,4073757.0,-1156616.0,,11247.0,,,11247.0,-1145369.0,-2462303.0,-2462303.0,-3607672.0,,,1414910.0,,,62452.0,42447.0,0.12,,,39423493.0,74054548.0,113478041.0,64640908.0,48837133.0,58480889.0,-9643756.0,20670273.0,11026517.0,13488822.0,-2462305.0,0.451851,22046173.0,31018941.0,,,604322,1.0,1.0,0.3474107646958763,0.6525892353041237,0.040733410783962275,0.040733410783962275,34343.97538677919,1017440.2708333334,5590.331158424909,70460.86912611274,29.625,0.16277472527472528,29.625,-0.05041870496370047,3
140191,INGALLS MEMORIAL HOSPITAL,ONE INGALLS DRIVE,HARVEY,IL,60426,COOK,16974.0,U,STH,1,2,10/01/2016 12:00:00 AM,06/30/2017 12:00:00 AM,1452.05,,,16647.0,3103.0,45209.0,268.0,73164.0,,3095.0,543.0,9188.0,,47281.0,3810.0,92316.0,326.0,88998.0,,3477.0,555.0,9838.0,,15258.0,2340.0,39889.0,243.0,66339.0,,3095.0,543.0,9188.0,9740925.0,22120704.0,15188401.0,20232228.0,79109509.0,152023941.0,13624904.0,222474406.0,357379641.0,624302660.0,981682301.0,13740071.0,,79109509.0,5745247.0,,,536000.0,,,40149000.0,,9128000.0,,,69648000.0,,,177612000.0,,,,,,177612000.0,226035000.0,9276000.0,235311000.0,482571000.0,32678000.0,,,,,23053000.0,55731000.0,,107061000.0,,18301000.0,125362000.0,181093000.0,301478000.0,301478000.0,482571000.0,,,27748402.0,,,353182.0,1551136.0,0.2236,,,358393348.0,625072412.0,983465760.0,756643760.0,226822000.0,231133450.0,-4311450.0,22528450.0,18217000.0,,18217000.0,0.22662600000000002,42036182.0,207743192.0,,,609960,1.0,1.0,0.364418734822044,0.635581265177956,0.0429452389979808,0.0429452389979808,24686.765346103613,846350.7462686567,3100.1858837679733,156208.11955511174,34.28358208955224,0.12558088677491663,34.28358208955224,0.08031407888123727,2
370025,SAINT FRANCIS HOSPITAL MUSKOGEE,300 ROCKEFELLER DRIVE,MUSKOGEE,OK,74401,MUSKOGEE,99937.0,R,STH,1,2,04/01/2017 12:00:00 AM,06/30/2017 12:00:00 AM,709.95,,,4264.0,1703.0,8273.0,264.0,24024.0,,861.0,347.0,1770.0,,6131.0,2684.0,11767.0,320.0,29120.0,,1030.0,492.0,2190.0,,3650.0,1234.0,6803.0,240.0,21840.0,,861.0,347.0,1770.0,556718.0,2153759.0,1113237.0,2114673.0,12042526.0,21093487.0,1700648.0,31578842.0,63182063.0,59904107.0,123086170.0,2002746.0,,10342496.0,1397760.0,,,8795819.0,,,23514277.0,,5249779.0,2149335.0,,40036184.0,9280000.0,2480000.0,64781784.0,,,13425047.0,,,88289673.0,,,,128325857.0,7118780.0,3048911.0,,,,245000.0,10412691.0,,,,187500.0,187500.0,10600191.0,117725666.0,117725666.0,128325857.0,,6055669.0,,,,19293.0,199534.0,0.1318,990994.0,,63182063.0,59906879.0,123088942.0,91171022.0,31917920.0,33136013.0,-1218093.0,285207.0,-932886.0,1992215.0,-2925101.0,0.25655900000000004,2589990.0,22536160.0,,,610076,1.0,2.0,0.5133041358012485,0.4866958641987515,0.01744217668319239,0.01744217668319239,18032.72316384181,120901.21212121213,1328.5847485847487,44957.982956546235,6.704545454545454,0.07367632367632368,6.704545454545454,-0.09164447432664785,3
510039,OHIO VALLEY GENERAL HOSPITAL,2000 EOFF STREET,WHEELING,WV,26003,OHIO,48540.0,U,STH,1,2,01/01/2017 12:00:00 AM,05/31/2017 12:00:00 AM,710.9,30.57,,2504.0,468.0,7410.0,119.0,17969.0,,557.0,238.0,1744.0,,3219.0,1370.0,13004.0,203.0,30653.0,,643.0,367.0,2574.0,,1226.0,341.0,5603.0,104.0,15704.0,,557.0,238.0,1744.0,29295.0,3087428.0,1143589.0,4971453.0,17989144.0,30616661.0,2938930.0,39314854.0,48541877.0,59872498.0,108414375.0,2748392.0,,17989144.0,,26201.0,83219.0,2334824.0,,,40420449.0,-8383016.0,3067006.0,-192723.0,,37631378.0,857615.0,1034858.0,67609612.0,,22186924.0,21736506.0,,,23973046.0,637823.0,,637823.0,62242247.0,2918105.0,,,645275.0,,19105830.0,43406212.0,13316507.0,,,-6532229.0,6784278.0,50190490.0,12051757.0,12051757.0,62242247.0,,3956392.0,,,,21296.0,173785.0,0.1757,2878532.0,397950.0,51102599.0,73547202.0,124649801.0,63144237.0,61505564.0,48605805.0,12899759.0,3222362.0,16122121.0,,16122121.0,0.362635,4808825.0,23816479.0,,,610601,1.0,1.0,0.40996935887607233,0.5900306411239277,0.00047629837196517703,0.00047629837196517703,35266.95183486238,516853.4789915966,3422.8707217986534,86517.88437192292,14.655462184873949,0.09705604095943013,14.655462184873949,0.2621245941261509,1
