Provider CCN,lat,lng
510013,39.9462364,-80.7529663
340106,34.9016124,-79.7085611
450178,30.5677939,-87.393012
341317,36.4180006,-80.2309154
110003,31.2249049,-82.3477321
250025,33.9765086,-88.4767374
160001,42.0495223,-92.9069853
380029,45.0045232,-122.7899875
140191,41.6074544,-87.6596663
370025,35.7543814,-95.4067995
510039,40.0606184,-80.7219614
50770,33.614781,-117.169182
50778,34.0494519,-117.2641774
301305,43.6398681,-72.2644873
110074,33.9613926,-83.3979673
364045,39.9466565,-83.0180941
340017,35.320602,-82.4674909
100092,28.3353563,-80.7227819
670058,29.5981021,-95.6243564
670095,30.0371754,-95.6061684
50327,34.0494519,-117.2641774
660001,15.2086299,145.7303467
450659,29.72272,-95.3875429
60043,38.8257062,-102.3555891
131315,45.9265605,-116.1271556
500012,46.596584,-120.5211861
281339,40.9100358,-97.0914681
341302,36.1323341,-77.4291154
50528,37.0640934,-120.8591356
371314,35.0709729,-98.2277031
450754,31.7031177,-98.1134194
471300,43.0489664,-72.6682409
452022,33.0456497,-96.8647087
521348,43.5516755,-90.8884737
270074,48.5620523,-113.0139662
241320,47.7757328,-96.6176644
471302,43.4870908,-72.4028821
443033,36.3539518,-82.371802
193028,30.4102161,-91.0950522
131318,43.8800818,-116.4849889
41323,33.1384943,-91.9388616
251333,30.8561759,-89.541876
301302,44.3179174,-71.8253933
301306,43.448372,-71.6445298
301308,43.3851398,-72.3424537
100315,28.228301,-80.7293673
220162,42.3374515,-71.1081799
471301,43.9153845,-72.6641543
471304,44.9554932,-72.2001756
141317,40.4785276,-88.3702179
141322,40.1534836,-89.3900347
141339,39.5550958,-89.2939243
173028,37.703906,-97.2460278
10146,33.7850205,-85.76314
111331,31.229773,-84.2053167
111326,31.0420704,-83.086214
450746,33.4144294,-99.8111422
451359,36.3700259,-100.7987427
10034,32.5338957,-85.9123254
11300,31.4563189,-88.2236218
301312,43.5819626,-71.2006687
521347,44.9413403,-92.3787396
201308,46.1315712,-67.8435603
301307,44.0616236,-71.1370883
471307,44.0000146,-73.1678181
100266,30.3587004,-87.1578934
153030,41.0428899,-85.2481637
281364,40.3161806,-96.7495665
100117,30.2735349,-81.3981631
201313,44.7666476,-69.4396809
421302,34.4070464,-81.1196075
421303,33.6604053,-79.8200673
493025,37.6287952,-77.3864214
493030,37.4666189,-77.658713
511306,38.813071,-81.369286
511320,38.8235509,-81.7295039
341303,35.3635024,-79.8906252
341304,35.9887184,-76.9285934
341318,36.0699853,-76.6111672
341324,35.939805,-75.618117
341326,35.184467,-83.379413
341329,35.910967,-82.063088
422008,34.976079,-82.4559814
141315,39.6073455,-90.8148195
301301,44.1354006,-72.023245
301303,44.486993,-71.554385
301309,42.8885572,-71.9360404
471303,44.4457643,-72.0096979
414000,41.846263,-71.385631
10021,31.4513601,-85.6319801
241376,45.6465772,-95.3898601
520109,43.7830467,-90.0752607
111313,33.4562831,-83.2467388
111333,31.8572004,-82.6068071
241350,46.4414076,-92.7728396
241373,46.5939093,-95.5931883
141310,41.5530314,-89.0875536
141325,41.220736,-89.9470704
261334,38.9636292,-93.4149319
234041,42.2848363,-83.7286121
673038,29.77621,-95.7460274
201309,45.187841,-69.2370847
221300,41.4607404,-70.5807041
521320,43.9840774,-90.515593
521356,44.8963283,-87.8654865
31311,35.0358297,-110.6925977
441305,36.5195828,-86.0264268
241305,46.5296349,-93.6984153
191318,31.6469583,-91.5548418
251337,33.5473362,-89.0955128
41310,35.8650411,-92.1083448
